# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
15019.1000 M322 755888 1 5556.1000 P4 P13 207 N P4->P13
15110.4000 M365 715433 1 4356.4000 B18 P11 227 N B18->P11
15141.2000 M274 621761 1 7113.2000 P12 P2 181 N P12->P2
15181.0000 M106 990865 6 12108.0000 B15 P7 98 N B15->S29->P11->P14->S37->B18->P7
15188.0000 M517 783175 1 6.0000 B18 P7 299 N B18->P7
15491.1000 M434 812209 1 2717.1000 B18 P13 254 N B18->P13
15493.9000 M296 699464 4 6808.9000 S28 B18 186 N S28->B15->S29->P13->B18
15535.3000 M300 681868 3 6737.3000 B16 S33 187 N B16->S32->P9->S33
15575.1000 M498 791940 1 955.1000 B18 S26 284 N B18->S26
15789.7000 M170 515476 4 10836.7000 P6 P9 119 N P6->S32->P3->B22->P9
15793.0000 M499 815315 1 1144.0000 P9 B22 280 N P9->B22
16071.2000 M427 801597 2 3492.2000 B18 S27 241 N B18->P0->S27
16167.9000 M416 517088 1 3906.9000 B24 B15 234 N B24->B15
16171.5000 M159 876289 2 11544.5000 B19 B15 107 N B19->B24->B15
16173.6000 M373 502968 1 5185.6000 B15 B24 213 N B15->B24
16378.1000 M475 864362 1 2423.1000 B23 P11 259 N B23->P11
16381.3000 M490 780166 1 1994.3000 B23 P11 266 N B23->P11
16671.2000 M524 795905 1 1276.2000 P11 S33 278 N P11->S33
16761.9000 M518 932677 1 1552.9000 S28 B21 274 N S28->B21
16789.4000 M568 674962 1 73.4000 P13 B24 298 N P13->B24
16830.1000 M443 740200 2 3795.1000 P7 P14 236 N P7->S36->P14
16959.8000 M530 852949 1 1383.8000 B19 P0 276 N B19->P0
16983.0000 M575 551471 1 55.0000 P12 B17 299 N P12->B17
16985.7000 M216 664723 1 10667.7000 B17 P12 122 N B17->P12
17219.5000 M403 506947 2 5350.5000 B22 P14 210 N B22->P10->P14
17283.9000 M461 616438 3 3727.9000 S31 P0 237 N S31->S29->P13->P0
17287.6000 M529 920698 2 1739.6000 B19 P13 271 N B19->P0->P13
17371.5000 M444 545494 3 4311.5000 S25 P11 228 N S25->S34->S29->P11
17374.3000 M545 699546 1 1341.3000 P11 S29 277 N P11->S29
17462.8000 M386 578931 1 6107.8000 B15 P10 198 N B15->P10
17485.0000 M353 994710 2 7089.0000 P8 P5 181 N P8->B23->P5
17488.2000 M560 780049 3 1007.2000 P3 B23 283 N P3->S31->P5->B23
17612.4000 M351 986239 4 7268.4000 P11 S27 178 N P11->B16->S32->P8->S27
17614.0000 M380 968197 2 6432.0000 S25 B21 192 N S25->B15->B21
17642.1000 M257 686796 1 10098.1000 B17 P4 131 N B17->P4
17725.5000 M450 608431 3 4489.5000 S31 P4 225 N S31->S39->S32->P4
17728.6000 M479 771238 3 3659.6000 S31 P4 239 N S31->S39->S32->P4
18007.3000 M77 957377 3 15790.3000 B23 S31 36 N B23->P9->B23->S31
18048.0000 M245 581182 3 10869.0000 P1 P7 118 N P1->S39->B16->P7
18088.0000 M595 708750 1 572.0000 P14 S26 290 N P14->S26
18303.9000 M559 958742 1 1855.9000 P0 S28 269 N P0->S28
18426.6000 M500 997649 1 3751.6000 B23 P4 237 N B23->P4
18546.2000 M550 860960 1 2369.2000 P10 P2 260 N P10->P2
18706.3000 M553 691567 1 2434.3000 P13 P4 259 N P13->P4
18716.1000 M526 539440 1 3255.1000 B20 B21 245 N B20->B21
18740.8000 M507 699078 1 3855.8000 B18 P6 235 N B18->P6
18774.0000 M534 974890 2 3081.0000 P14 P4 248 N P14->P7->P4
18989.0000 M619 709895 1 742.0000 P3 B24 287 N P3->B24
19113.6000 M606 556028 1 1250.6000 B23 P2 279 N B23->P2
19405.3000 M654 720969 1 103.3000 B16 P2 298 N B16->P2
19584.9000 M357 734154 5 9071.9000 P4 S32 148 N P4->S34->S27->S34->P11->S32
19587.8000 M546 709019 1 3524.8000 P11 S32 241 N P11->S32
19611.0000 M485 791504 2 5373.0000 P13 P6 210 N P13->B24->P6
19784.6000 M535 593823 1 4062.6000 P8 S32 232 N P8->S32
19931.2000 M594 907968 1 2445.2000 B17 P3 259 N B17->P3
19947.3000 M647 833000 1 853.3000 P8 S26 285 N P8->S26
19950.8000 M564 857488 1 3355.8000 P8 S26 244 N P8->S26
20011.8000 M287 995697 3 11591.8000 S25 B16 106 N S25->S34->S35->B16
20377.0000 M562 833130 1 3838.0000 B24 B22 236 N B24->B22
20396.6000 M414 686037 1 8195.6000 B22 P6 163 N B22->P6
20400.2000 M539 884888 6 4560.2000 S28 B22 223 N S28->P6->S39->P7->S36->P6->B22
20428.1000 M659 981471 1 986.1000 P1 B18 283 N P1->B18
20510.2000 M597 599834 1 2934.2000 B21 B24 251 N B21->B24
20514.0000 M401 949056 3 8708.0000 P8 B24 154 N P8->S28->B21->B24
20586.8000 M355 770608 5 10129.8000 B17 B22 131 N B17->P5->S29->P13->P4->B22
20589.9000 M665 774030 1 961.9000 P4 B22 283 N P4->B22
20644.5000 M481 950073 4 6521.5000 P3 B15 191 N P3->S31->P5->B23->B15
20676.3000 M666 735113 1 1016.3000 S31 B19 283 N S31->B19
20957.8000 M492 616978 4 6520.8000 S28 P12 191 N S28->P6->S39->P7->P12
21068.7000 M334 760188 1 11243.7000 B22 B21 112 N B22->B21
21072.4000 M447 912531 1 7922.4000 B22 B21 167 N B22->B21
21110.0000 M275 580534 5 13051.0000 B24 P2 82 N B24->S26->B24->S36->B16->P2
21146.2000 M581 923296 1 4034.2000 P9 P10 232 N P9->P10
21208.9000 M186 686066 4 15781.9000 B19 S29 36 N B19->B24->P9->B20->S29
21215.4000 M634 530526 1 2520.4000 B16 B23 257 N B16->B23
21218.5000 M628 769422 3 2697.5000 B17 B23 255 N B17->S36->B16->B23
21423.5000 M477 730525 1 7410.5000 B23 S26 176 N B23->S26
21426.1000 M502 627072 2 6688.1000 B19 S26 188 N B19->B23->S26
21447.8000 M432 870028 2 8732.8000 B17 S31 154 N B17->P3->S31
21529.6000 M728 657434 1 43.6000 B15 P12 299 N B15->P12
21573.2000 M557 921470 1 5185.2000 P1 P2 213 N P1->P2
21576.6000 M615 840099 1 3450.6000 P1 P2 242 N P1->P2
21728.9000 M725 777845 1 329.9000 P1 B17 294 N P1->B17
21760.7000 M724 826133 1 388.7000 P5 P0 293 N P5->P0
21828.0000 M593 698209 4 4367.0000 S25 P12 227 N S25->S37->P9->P3->P12
21830.8000 M698 679895 1 1222.8000 P3 P12 279 N P3->P12
21923.7000 M453 597722 3 8599.7000 B20 S30 156 N B20->B16->P2->S30
21962.3000 M578 697601 1 4942.3000 B18 B17 217 N B18->B17
22279.7000 M630 587193 2 3705.7000 P10 B17 238 N P10->S39->B17
22527.9000 M503 638869 3 7761.9000 S26 P14 170 N S26->S35->P1->P14
22544.9000 M531 861450 4 6938.9000 S25 B23 184 N S25->S37->S38->S36->B23
22547.6000 M511 674611 4 7546.6000 S25 B23 174 N S25->S37->S38->S36->B23
22561.0000 M588 706897 1 5236.0000 P9 S33 212 N P9->S33
22562.0000 M474 965496 1 8637.0000 B19 B18 156 N B19->B18
22597.7000 M688 703060 1 2288.7000 B24 S28 261 N B24->S28
22734.1000 M537 807903 1 6958.1000 B15 B18 184 N B15->B18
22737.5000 M358 642262 4 12192.5000 S26 B23 96 N S26->S38->P8->P7->B23
22741.0000 M494 850334 2 8241.0000 B19 P7 162 N B19->B23->P7
22990.9000 M381 703537 4 11783.9000 S26 S25 103 N S26->B24->S36->B17->S25
23043.6000 M462 503419 2 9460.6000 B24 P8 142 N B24->P6->P8
23215.3000 M740 636276 2 1366.3000 P4 P10 277 N P4->S38->P10
23600.4000 M771 906594 2 807.4000 S28 B19 286 N S28->B24->B19
